Zoombox,Arabelle,Fred,396430.53,2016-12-09,Pending
Jaloo,Buffy,Jason,387638.91,2017-09-03,Churn
Edgepulse,Harbert,Paul,178158.63,2017-01-23,Churn
Avaveo,Nichole,Lara,153420.62,2017-03-01,Pending
Myworks,Jessalyn,Kelly,288399.78,2017-07-02,Churn
Browsetype,Tiena,Jason,447068.65,2017-02-14,Churn
Teklist,Karoline,Lara,485089.34,2017-09-05,Initial
Jabbercube,Art,Kelly,36015.66,2017-08-08,Pending
Zoonoodle,Kirbee,Fred,377633.92,2016-11-19,Churn
Babbleopia,Camellia,Paul,411943.81,2017-05-09,Closed
Bubbletube,Chiarra,Lara,314088.64,2017-10-01,Completed
Edgeblab,Silas,Paul,436038.33,2017-02-03,Initial
Babbleblab,Gerrilee,Jason,5178.30,2017-02-28,Initial
Vinder,Auria,Alexander,207738.07,2017-02-10,Churn
Ooba,Devlen,Jason,17110.34,2016-11-19,Initial
Yacero,Sig,Alexander,100212.49,2017-03-02,Churn
Topicstorm,Aurie,Fred,372666.63,2017-09-28,Churn
Ailane,Meggie,Kelly,40049.89,2017-10-08,Initial
Feedspan,Gabriell,Kelly,427552.04,2017-05-09,Pending
Vinder,Oswald,Fred,400650.12,2017-08-16,Churn
Shuffledrive,Wynn,Fred,116400.48,2017-08-28,Closed
Flipbug,Roselle,Paul,10028.10,2017-01-21,Churn
Thoughtstorm,Rufus,Fred,22467.00,2017-01-20,Closed
Avamm,Maxy,Lara,321612.13,2017-02-25,Completed
Bubblemix,Clo,Paul,221000.22,2017-06-15,Completed
Thoughtstorm,Glennis,Paul,135700.36,2017-07-08,Pending
Buzzdog,Cherida,Jason,356631.80,2017-04-24,Completed
Blogtags,Gracie,Alexander,32084.50,2017-08-01,Completed
Eare,Kilian,Paul,273646.19,2016-12-14,Pending
Rhyzio,Ophelia,Lara,79977.22,2017-10-05,Closed
Mydo,Brooks,Lara,488942.45,2017-07-15,Closed
Devcast,Major,Fred,113628.97,2017-10-04,Closed
Edgetag,Roby,Alexander,75609.00,2017-03-22,Completed
Blogspan,Cad,Alexander,171784.29,2017-01-18,Closed
Centidel,Gabrila,Paul,3821.79,2017-10-04,Completed
Flipbug,Shannon,Fred,47744.26,2016-11-20,Pending
Miboo,Dominique,Jason,548.68,2017-03-24,Churn
Jayo,Corby,Paul,176902.97,2017-10-10,Completed
Topicshots,Hugh,Lara,66693.69,2017-09-30,Completed
Demizz,Fionnula,Kelly,233879.70,2017-02-12,Initial
Tagopia,Kristofor,Paul,208651.88,2017-02-26,Initial
Dabfeed,Pavia,Alexander,434685.42,2017-09-24,Churn
Fiveclub,Pancho,Paul,39341.92,2017-05-15,Churn
Meevee,Ernesta,Alexander,244039.02,2017-05-22,Churn
Realmix,Tybi,Fred,307766.98,2016-11-13,Closed
Fivebridge,Bryan,Alexander,247465.24,2017-01-06,Initial
Skajo,Kipp,Paul,141439.67,2017-08-26,Closed
Meembee,Mirabella,Paul,89341.10,2017-04-11,Initial
Wikibox,Hallsy,Jason,286386.85,2017-03-22,Completed
Gigabox,Becka,Lara,292506.67,2017-01-18,Initial
Mymm,Roselia,Lara,130755.25,2017-05-19,Churn
Zoomdog,Noach,Jason,143040.76,2017-09-26,Completed
Podcat,Dorie,Kelly,76783.83,2016-12-04,Completed
Skajo,Merrily,Paul,434877.50,2017-06-04,Completed
Oyoba,Cleo,Lara,109791.50,2017-01-04,Churn
Thoughtsphere,Fina,Jason,124556.50,2017-05-04,Churn
Chatterbridge,Kimmy,Paul,433714.48,2016-12-28,Closed
Skyba,Alden,Kelly,297543.05,2017-01-10,Initial
Pixoboo,Timotheus,Paul,4881.74,2017-01-23,Completed
Minyx,Bertha,Alexander,65602.91,2017-05-09,Churn
Eimbee,Celle,Alexander,95165.77,2017-04-09,Pending
Thoughtworks,Angelika,Paul,427771.11,2016-12-18,Closed
Kanoodle,Abby,Paul,97490.74,2017-09-10,Closed
Thoughtbridge,Peggie,Paul,97507.58,2016-12-29,Churn
Dynazzy,Alfonso,Kelly,491420.14,2017-01-11,Completed
Skimia,Sarena,Alexander,219176.28,2016-11-16,Closed
Yadel,Ginni,Paul,33856.81,2017-04-18,Initial
Twitterbeat,Enrico,Kelly,194980.21,2017-06-24,Completed
Oyondu,Lev,Alexander,292229.03,2017-04-28,Completed
Edgetag,Thaine,Fred,291888.53,2017-05-03,Churn
Brainverse,Reece,Lara,409891.61,2017-09-03,Closed
Oodoo,Goldina,Alexander,74108.94,2017-10-08,Initial
Rhynyx,Aubrey,Kelly,295176.20,2017-01-14,Churn
Fivechat,Emmey,Alexander,65949.98,2017-06-02,Initial
Topicware,Sorcha,Paul,461663.97,2017-05-30,Initial
Plambee,Augustus,Fred,495506.10,2017-05-10,Completed
Izio,Oneida,Fred,398371.33,2017-08-02,Closed
Photobean,Linnie,Kelly,23123.75,2017-06-19,Closed
Realpoint,Tallou,Jason,16133.39,2016-12-05,Churn
